COREF	start_token	end_token	prop	cat	text	byte_onset	byte_offset	char_onset	char_offset	char_span	tagger_entity_group	tagger_score	tagger_word	tagger_start	tagger_end	tagger_overlap_chars	tagger_overlap_ratio	supersense_categories	supersense_texts	supersense_items	lumens_entity_type	lumens_review_flags
0	1	9	NOM	FAC	the porch of the country - seat called Tanglewood	8	55	8	55	the porch of the country-seat called Tanglewood	place	0.9797868728637696	 the porch of the country-seat called Tanglewood	8	55	47	1.0	"[""noun.artifact"", ""noun.group"", ""noun.location""]"	"[""porch"", ""country"", ""seat"", ""Tanglewood""]"	"[{""text"": ""porch"", ""supersense_category"": ""noun.artifact"", ""start_token"": 2, ""end_token"": 2, ""char_onset"": 12, ""char_offset"": 17}, {""text"": ""country"", ""supersense_category"": ""noun.group"", ""start_token"": 5, ""end_token"": 5, ""char_onset"": 25, ""char_offset"": 32}, {""text"": ""seat"", ""supersense_category"": ""noun.location"", ""start_token"": 7, ""end_token"": 7, ""char_onset"": 33, ""char_offset"": 37}, {""text"": ""Tanglewood"", ""supersense_category"": ""noun.location"", ""start_token"": 9, ""end_token"": 9, ""char_onset"": 45, ""char_offset"": 55}]"	LOCATION_SETTING	CHECK_TYPE
1	4	9	NOM	FAC	the country - seat called Tanglewood	21	55	21	55	the country-seat called Tanglewood	place	0.9797868728637696	 the porch of the country-seat called Tanglewood	8	55	34	1.0	"[""noun.group"", ""noun.location""]"	"[""country"", ""seat"", ""Tanglewood""]"	"[{""text"": ""country"", ""supersense_category"": ""noun.group"", ""start_token"": 5, ""end_token"": 5, ""char_onset"": 25, ""char_offset"": 32}, {""text"": ""seat"", ""supersense_category"": ""noun.location"", ""start_token"": 7, ""end_token"": 7, ""char_onset"": 33, ""char_offset"": 37}, {""text"": ""Tanglewood"", ""supersense_category"": ""noun.location"", ""start_token"": 9, ""end_token"": 9, ""char_onset"": 45, ""char_offset"": 55}]"	LOCATION_SETTING	
2	18	23	NOM	PER	a merry party of little folks	98	127	98	127	a merry party of little folks	person	0.9882051348686218	 a merry party of little folks	98	127	29	1.0	"[""noun.group"", ""noun.person""]"	"[""party"", ""folks""]"	"[{""text"": ""party"", ""supersense_category"": ""noun.group"", ""start_token"": 20, ""end_token"": 20, ""char_onset"": 106, ""char_offset"": 111}, {""text"": ""folks"", ""supersense_category"": ""noun.person"", ""start_token"": 23, ""end_token"": 23, ""char_onset"": 122, ""char_offset"": 127}]"	GROUP_COMMUNITY	CHECK_TYPE
3	26	28	NOM	PER	a tall youth	134	146	134	146	a tall youth	person	0.954325556755066	" a
tall youth"	134	146	12	1.0	"[""noun.person""]"	"[""youth""]"	"[{""text"": ""youth"", ""supersense_category"": ""noun.person"", ""start_token"": 28, ""end_token"": 28, ""char_onset"": 141, ""char_offset"": 146}]"	CHARACTER_PERSON	
2	33	33	PRON	PER	them	163	167	163	167	them	person	0.8460521101951599	 the midst of them	150	167	4	1.0	[]	[]	[]	CHARACTER_PERSON	
2	35	35	PRON	PER	They	169	173	169	173	They	person	0.9812426567077636	 They	169	173	4	1.0	[]	[]	[]	CHARACTER_PERSON	
4	52	55	NOM	LOC	the hill - slopes	262	277	262	277	the hill-slopes	place	0.5271289348602295	" the
hill-"	262	271	9	1.0	"[""noun.object""]"	"[""hill"", ""slopes""]"	"[{""text"": ""hill"", ""supersense_category"": ""noun.object"", ""start_token"": 53, ""end_token"": 53, ""char_onset"": 266, ""char_offset"": 270}, {""text"": ""slopes"", ""supersense_category"": ""noun.object"", ""start_token"": 55, ""end_token"": 55, ""char_onset"": 271, ""char_offset"": 277}]"	LOCATION_SETTING	LOW_CONFIDENCE|CHECK_TYPE
5	70	71	NOM	FAC	the fields	340	350	340	350	the fields	place	0.9062954187393188	 the fields and pastures	340	363	10	1.0	"[""noun.location""]"	"[""fields""]"	"[{""text"": ""fields"", ""supersense_category"": ""noun.location"", ""start_token"": 71, ""end_token"": 71, ""char_onset"": 344, ""char_offset"": 350}]"	LOCATION_SETTING	
6	80	84	NOM	LOC	the many - colored woods	387	409	387	409	the many-colored woods	place	0.8979505300521851	" the nooks of the many-colored
woods"	374	409	22	1.0	"[""noun.group""]"	"[""woods""]"	"[{""text"": ""woods"", ""supersense_category"": ""noun.group"", ""start_token"": 84, ""end_token"": 84, ""char_onset"": 404, ""char_offset"": 409}]"	LOCATION_SETTING	
7	101	105	NOM	LOC	this beautiful and comfortable world	481	517	481	517	this beautiful and comfortable world	abstract	0.9935847520828248	" the
aspect of this beautiful and comfortable world"	467	517	36	1.0	"[""noun.object""]"	"[""world""]"	"[{""text"": ""world"", ""supersense_category"": ""noun.object"", ""start_token"": 105, ""end_token"": 105, ""char_onset"": 512, ""char_offset"": 517}]"	LOCATION_SETTING	CHECK_TYPE
8	123	124	NOM	LOC	the valley	595	605	595	605	the valley	place	0.9669734835624696	" the whole length and breadth of the valley,
above which, on a gently sloping eminence, the mansion stood"	563	667	10	1.0	"[""noun.object""]"	"[""valley""]"	"[{""text"": ""valley"", ""supersense_category"": ""noun.object"", ""start_token"": 124, ""end_token"": 124, ""char_onset"": 599, ""char_offset"": 605}]"	LOCATION_SETTING	CHECK_TYPE
9	135	136	NOM	FAC	the mansion	650	661	650	661	the mansion	place	0.9669734835624696	" the whole length and breadth of the valley,
above which, on a gently sloping eminence, the mansion stood"	563	667	11	1.0	"[""noun.artifact""]"	"[""mansion""]"	"[{""text"": ""mansion"", ""supersense_category"": ""noun.artifact"", ""start_token"": 136, ""end_token"": 136, ""char_onset"": 654, ""char_offset"": 661}]"	LOCATION_SETTING	CHECK_TYPE
