paragraph_ID	sentence_ID	token_ID_within_sentence	token_ID_within_document	word	lemma	byte_onset	byte_offset	POS_tag	fine_POS_tag	dependency_relation	syntactic_head_ID	event
0	0	0	0	Beneath	beneath	0	7	ADP	IN	prep	17	O
0	0	1	1	the	the	8	11	DET	DT	det	2	O
0	0	2	2	porch	porch	12	17	NOUN	NN	pobj	0	O
0	0	3	3	of	of	18	20	ADP	IN	prep	2	O
0	0	4	4	the	the	21	24	DET	DT	det	7	O
0	0	5	5	country	country	25	32	NOUN	NN	compound	7	O
0	0	6	6	-	-	32	33	PUNCT	HYPH	punct	7	O
0	0	7	7	seat	seat	33	37	NOUN	NN	pobj	3	O
0	0	8	8	called	call	38	44	VERB	VBN	acl	7	O
0	0	9	9	Tanglewood	Tanglewood	45	55	PROPN	NNP	oprd	8	O
0	0	10	10	,	,	55	56	PUNCT	,	punct	9	O
0	0	11	11	one	one	57	60	NUM	CD	nummod	14	O
0	0	12	12	fine	fine	61	65	ADJ	JJ	amod	14	O
0	0	13	13	autumnal	autumnal	66	74	ADJ	JJ	amod	14	O
0	0	14	14	morning	morning	75	82	NOUN	NN	appos	9	O
0	0	15	15	,	,	82	83	PUNCT	,	punct	17	O
0	0	16	16	was	be	84	87	AUX	VBD	auxpass	17	O
0	0	17	17	assembled	assemble	88	97	VERB	VBN	ROOT	17	O
0	0	18	18	a	a	98	99	DET	DT	det	20	O
0	0	19	19	merry	merry	100	105	ADJ	JJ	amod	20	O
0	0	20	20	party	party	106	111	NOUN	NN	dobj	17	O
0	0	21	21	of	of	112	114	ADP	IN	prep	20	O
0	0	22	22	little	little	115	121	ADJ	JJ	amod	23	O
0	0	23	23	folks	folk	122	127	NOUN	NNS	pobj	21	O
0	0	24	24	,	,	127	128	PUNCT	,	punct	17	O
0	0	25	25	with	with	129	133	ADP	IN	prep	17	O
0	0	26	26	a	a	134	135	DET	DT	det	28	O
0	0	27	27	tall	tall	136	140	ADJ	JJ	amod	28	O
0	0	28	28	youth	youth	141	146	NOUN	NN	pobj	25	O
0	0	29	29	in	in	147	149	ADP	IN	prep	28	O
0	0	30	30	the	the	150	153	DET	DT	det	31	O
0	0	31	31	midst	midst	154	159	NOUN	NN	pobj	29	O
0	0	32	32	of	of	160	162	ADP	IN	prep	31	O
0	0	33	33	them	they	163	167	PRON	PRP	pobj	32	O
0	0	34	34	.	.	167	168	PUNCT	.	punct	17	O
0	1	0	35	They	they	169	173	PRON	PRP	nsubj	37	O
0	1	1	36	had	have	174	177	AUX	VBD	aux	37	O
0	1	2	37	planned	plan	178	185	VERB	VBN	ROOT	37	O
0	1	3	38	a	a	186	187	DET	DT	det	40	O
0	1	4	39	nutting	nutting	188	195	NOUN	NN	compound	40	O
0	1	5	40	expedition	expedition	196	206	NOUN	NN	dobj	37	O
0	1	6	41	,	,	206	207	PUNCT	,	punct	37	O
0	1	7	42	and	and	208	211	CCONJ	CC	cc	37	O
0	1	8	43	were	be	212	216	AUX	VBD	aux	45	O
0	1	9	44	impatiently	impatiently	217	228	ADV	RB	advmod	45	O
0	1	10	45	waiting	wait	229	236	VERB	VBG	conj	37	EVENT
0	1	11	46	for	for	237	240	SCONJ	IN	mark	50	O
0	1	12	47	the	the	241	244	DET	DT	det	48	O
0	1	13	48	mists	mist	245	250	NOUN	NNS	nsubj	50	O
0	1	14	49	to	to	251	253	PART	TO	aux	50	O
0	1	15	50	roll	roll	254	258	VERB	VB	advcl	45	O
0	1	16	51	up	up	259	261	ADP	RP	prt	50	O
0	1	17	52	the	the	262	265	DET	DT	det	55	O
0	1	18	53	hill	hill	266	270	NOUN	NN	compound	55	O
0	1	19	54	-	-	270	271	PUNCT	HYPH	punct	55	O
0	1	20	55	slopes	slope	271	277	NOUN	NNS	dobj	50	O
0	1	21	56	,	,	277	278	PUNCT	,	punct	50	O
0	1	22	57	and	and	279	282	CCONJ	CC	cc	45	O
0	1	23	58	for	for	283	286	SCONJ	IN	mark	62	O
0	1	24	59	the	the	287	290	DET	DT	det	60	O
0	1	25	60	sun	sun	291	294	NOUN	NN	nsubj	62	O
0	1	26	61	to	to	295	297	PART	TO	aux	62	O
0	1	27	62	pour	pour	298	302	VERB	VB	conj	45	O
0	1	28	63	the	the	303	306	DET	DT	det	64	O
0	1	29	64	warmth	warmth	307	313	NOUN	NN	dobj	62	O
0	1	30	65	of	of	314	316	ADP	IN	prep	64	O
0	1	31	66	the	the	317	320	DET	DT	det	68	O
0	1	32	67	Indian	indian	321	327	ADJ	JJ	amod	68	O
0	1	33	68	summer	summer	328	334	NOUN	NN	pobj	65	O
0	1	34	69	over	over	335	339	ADP	IN	prep	64	O
0	1	35	70	the	the	340	343	DET	DT	det	71	O
0	1	36	71	fields	field	344	350	NOUN	NNS	pobj	69	O
0	1	37	72	and	and	351	354	CCONJ	CC	cc	71	O
0	1	38	73	pastures	pasture	355	363	NOUN	NNS	conj	71	O
0	1	39	74	,	,	363	364	PUNCT	,	punct	62	O
0	1	40	75	and	and	365	368	CCONJ	CC	cc	62	O
0	1	41	76	into	into	369	373	ADP	IN	conj	62	O
0	1	42	77	the	the	374	377	DET	DT	det	78	O
0	1	43	78	nooks	nook	378	383	NOUN	NNS	pobj	76	O
0	1	44	79	of	of	384	386	ADP	IN	prep	78	O
0	1	45	80	the	the	387	390	DET	DT	det	84	O
0	1	46	81	many	many	391	395	ADJ	JJ	amod	83	O
0	1	47	82	-	-	395	396	PUNCT	HYPH	punct	83	O
0	1	48	83	colored	color	396	403	VERB	VBN	amod	84	O
0	1	49	84	woods	wood	404	409	NOUN	NNS	pobj	79	O
0	1	50	85	.	.	409	410	PUNCT	.	punct	37	O
0	2	0	86	There	there	411	416	PRON	EX	expl	87	O
0	2	1	87	was	be	417	420	VERB	VBD	ROOT	87	O
0	2	2	88	a	a	421	422	DET	DT	det	89	O
0	2	3	89	prospect	prospect	423	431	NOUN	NN	attr	87	O
0	2	4	90	of	of	432	434	ADP	IN	prep	89	O
0	2	5	91	as	as	435	437	ADV	RB	advmod	92	O
0	2	6	92	fine	fine	438	442	ADJ	JJ	amod	94	O
0	2	7	93	a	a	443	444	DET	DT	det	94	O
0	2	8	94	day	day	445	448	NOUN	NN	pobj	90	O
0	2	9	95	as	as	449	451	ADP	IN	advmod	96	O
0	2	10	96	ever	ever	452	456	ADV	RB	advmod	94	O
0	2	11	97	gladdened	gladden	457	466	VERB	VBN	dep	87	O
0	2	12	98	the	the	467	470	DET	DT	det	99	O
0	2	13	99	aspect	aspect	471	477	NOUN	NN	dobj	97	O
0	2	14	100	of	of	478	480	ADP	IN	prep	99	O
0	2	15	101	this	this	481	485	DET	DT	det	105	O
0	2	16	102	beautiful	beautiful	486	495	ADJ	JJ	amod	105	O
0	2	17	103	and	and	496	499	CCONJ	CC	cc	102	O
0	2	18	104	comfortable	comfortable	500	511	ADJ	JJ	conj	102	O
0	2	19	105	world	world	512	517	NOUN	NN	pobj	100	O
0	2	20	106	.	.	517	518	PUNCT	.	punct	87	O
0	3	0	107	As	as	519	521	ADP	IN	prep	115	O
0	3	1	108	yet	yet	522	525	ADV	RB	pcomp	107	O
0	3	2	109	,	,	525	526	PUNCT	,	punct	115	O
0	3	3	110	however	however	527	534	ADV	RB	advmod	115	O
0	3	4	111	,	,	534	535	PUNCT	,	punct	115	O
0	3	5	112	the	the	536	539	DET	DT	det	114	O
0	3	6	113	morning	morning	540	547	NOUN	NN	compound	114	O
0	3	7	114	mist	mist	548	552	NOUN	NN	nsubj	115	EVENT
0	3	8	115	filled	fill	553	559	VERB	VBD	ROOT	115	O
0	3	9	116	up	up	560	562	ADP	RP	prt	115	O
0	3	10	117	the	the	563	566	DET	DT	det	119	O
0	3	11	118	whole	whole	567	572	ADJ	JJ	amod	119	O
0	3	12	119	length	length	573	579	NOUN	NN	dobj	115	O
0	3	13	120	and	and	580	583	CCONJ	CC	cc	119	O
0	3	14	121	breadth	breadth	584	591	NOUN	NN	conj	119	O
0	3	15	122	of	of	592	594	ADP	IN	prep	119	O
0	3	16	123	the	the	595	598	DET	DT	det	124	O
0	3	17	124	valley	valley	599	605	NOUN	NN	pobj	122	O
0	3	18	125	,	,	605	606	PUNCT	,	punct	119	O
0	3	19	126	above	above	607	612	ADP	IN	prep	137	O
0	3	20	127	which	which	613	618	PRON	WDT	pobj	126	O
0	3	21	128	,	,	618	619	PUNCT	,	punct	137	O
0	3	22	129	on	on	620	622	ADP	IN	prep	137	O
0	3	23	130	a	a	623	624	DET	DT	det	133	O
0	3	24	131	gently	gently	625	631	ADV	RB	advmod	132	O
0	3	25	132	sloping	slop	632	639	VERB	VBG	amod	133	O
0	3	26	133	eminence	eminence	640	648	NOUN	NN	pobj	129	O
0	3	27	134	,	,	648	649	PUNCT	,	punct	137	O
0	3	28	135	the	the	650	653	DET	DT	det	136	O
0	3	29	136	mansion	mansion	654	661	NOUN	NN	nsubj	137	O
0	3	30	137	stood	stand	662	667	VERB	VBD	relcl	119	O
0	3	31	138	.	.	667	668	PUNCT	.	punct	115	O
